Person_ID,Age,Gender,Dominant Emotion,Recent Thought,Dream Type,Hours of Sleep,Meditation Frequency,Screen Time (hrs/day),Music Preference,Brain Activity Level (%),Focus Level (%),Creativity Score (1-10),Anxiety Level (1-10),Happiness Index (1-10),Decision-Making Speed (sec),Daydreaming Frequency,Stress Triggers,AI Interaction Level,Philosophical Thinking (%),Caffeine Consumption (mg/day),Social Interaction Level,Most Active Brain Hemisphere,Sleep Quality,Random_Noise
2468,49,Male,Angry,Creativity burst,Lucid,4,Never,2,Classical,35,85,1,6,1,1,High,Work,Medium,10,400,Ambivert,Right,Average,459
7542,24,Non-binary,Sad,Existential crisis,Abstract,7,Daily,1,Classical,27,60,2,6,6,4,Low,Work,Medium,43,200,Extrovert,Right,Poor,697
6177,68,Non-binary,Happy,Focused mode,Abstract,8,Never,9,Classical,50,28,2,7,3,13,High,Health,High,28,200,Ambivert,Left,Good,313
7361,39,Non-binary,Anxious,Focused mode,Forgotten,8,Daily,9,Pop,29,30,4,5,5,7,Medium,Relationships,Medium,33,300,Introvert,Balanced,Poor,505
3905,45,Female,Sad,Creativity burst,Lucid,4,Daily,7,Metal,75,100,6,7,2,1,Medium,Health,Medium,13,400,Ambivert,Right,Poor,535
9533,19,Female,Excited,Focused mode,Lucid,7,Never,7,Rock,95,92,4,2,,13,Low,Social Media,Medium,45,-50,Extrovert,Right,Average,114
2413,59,Non-binary,,Creativity burst,Forgotten,5,Never,3,Metal,89,33,9,1,1,1,Low,Relationships,Medium,86,500,Extrovert,Right,Good,372
4270,62,Non-binary,Anxious,Focused mode,Forgotten,7,Weekly,10,Pop,39,35,4,10,4,11,Medium,Social Media,Low,67,300,Ambivert,Left,Good,662
5056,23,Non-binary,Happy,Focused mode,Lucid,8,Never,2,Classical,24,54,6,8,10,6,Medium,Finance,High,41,-50,Introvert,Left,Poor,864
6856,45,Female,Sad,Creativity burst,Forgotten,7,Weekly,7,Pop,42,37,6,1,2,4,Medium,Relationships,Low,18,400,Introvert,Balanced,Poor,144
8684,45,Non-binary,Happy,Random nostalgia,Abstract,10,Never,9,Lo-fi,28,91,10,2,1,3,Low,Health,High,89,400,Extrovert,Balanced,Average,802
7256,61,Non-binary,Anxious,Focused mode,Nightmare,9,Daily,1,Lo-fi,77,38,10,10,6,12,Medium,Health,High,76,400,Extrovert,Balanced,Good,733
3005,61,Male,Anxious,Existential crisis,Abstract,3,Never,4,Metal,78,26,1,6,4,5,Low,Relationships,Low,29,400,Ambivert,Balanced,Average,511
6736,37,Male,,Random nostalgia,Forgotten,10,Daily,6,Metal,99,77,8,1,10,9,Medium,Health,Medium,83,0,Ambivert,Left,Average,286
8816,47,Female,Angry,Creativity burst,Lucid,5,Daily,7,Rock,73,53,3,10,7,10,High,Relationships,Low,71,-50,Ambivert,Balanced,Average,825
8976,28,Non-binary,,Random nostalgia,Lucid,6,Daily,10,Rock,65,70,6,3,6,10,High,Work,High,67,0,Introvert,Right,Good,760
7224,45,Non-binary,Excited,Work stress,Abstract,9,Weekly,7,Lo-fi,41,77,3,7,5,12,Medium,Health,High,31,300,Introvert,Left,Average,269
1889,42,Male,Sad,Work stress,Lucid,3,Never,10,Classical,83,83,2,8,10,14,High,Relationships,Medium,76,400,Extrovert,Left,Good,820
2291,56,Female,Excited,Focused mode,Forgotten,6,Daily,2,Pop,27,34,5,4,2,14,Low,Relationships,Low,84,100,Extrovert,Left,Average,693
9917,50,Male,Sad,Focused mode,Abstract,4,Daily,4,Rock,39,76,1,3,5,12,High,Health,High,57,400,Extrovert,Right,Poor,500
9085,18,Male,Sad,Existential crisis,Lucid,6,Weekly,5,Rock,70,11,9,1,9,11,High,Work,Low,17,100,Ambivert,Left,Average,807
9119,44,Male,Anxious,Random nostalgia,Nightmare,9,Never,1,Classical,97,98,7,9,9,10,Low,Health,Medium,82,0,Introvert,Right,Average,345
6637,69,Male,Sad,Work stress,Nightmare,7,Never,1,Classical,58,58,3,10,2,3,High,Relationships,Medium,24,400,Extrovert,Balanced,Good,956
8693,30,Non-binary,Anxious,Focused mode,Forgotten,9,Weekly,10,Metal,56,79,4,6,7,5,High,Work,High,41,50,Extrovert,Left,Poor,968
2477,58,Non-binary,Anxious,Random nostalgia,Lucid,10,Weekly,3,Pop,69,35,6,6,10,10,Medium,Social Media,Medium,62,300,Extrovert,Right,Poor,651
2423,20,Male,Angry,Focused mode,Forgotten,6,Never,10,Classical,53,81,3,9,4,5,Low,Finance,High,76,400,Extrovert,Left,Good,779
6807,56,Female,Sad,Focused mode,Abstract,8,Weekly,3,Rock,94,36,7,1,3,9,Low,Health,High,13,200,Extrovert,Balanced,Good,142
9576,23,Female,Angry,Work stress,Nightmare,3,Never,8,Rock,52,98,6,6,1,11,Medium,Relationships,Medium,39,100,Extrovert,Left,Poor,940
4884,25,Female,Angry,Work stress,Abstract,3,Never,9,Lo-fi,50,27,9,5,3,12,Medium,Work,Medium,22,500,Introvert,Balanced,Good,822
6661,44,Female,Angry,Focused mode,Lucid,6,Daily,1,Classical,73,63,5,6,9,10,High,Work,Low,30,500,Extrovert,Left,Poor,278
9795,26,Male,Angry,Creativity burst,Forgotten,3,Daily,2,Metal,63,10,4,8,9,11,High,Social Media,Low,50,400,Introvert,Right,Average,556
2503,54,Non-binary,Happy,Focused mode,Forgotten,8,Never,10,Pop,53,70,3,5,7,4,High,Health,High,28,-50,Ambivert,Balanced,Average,634
7212,50,Female,Angry,Focused mode,Forgotten,9,Never,2,Metal,90,12,10,2,,1,Medium,Work,Low,57,50,Introvert,Left,Poor,706
6325,68,Male,Happy,Existential crisis,Abstract,3,Never,4,Rock,81,77,1,2,3,10,Low,Social Media,High,72,100,Ambivert,Balanced,Poor,771
4159,59,Female,Anxious,Existential crisis,Nightmare,6,Never,2,Metal,42,50,3,10,4,5,High,Relationships,Medium,29,50,Introvert,Balanced,Average,343
3409,61,Female,Anxious,Existential crisis,Abstract,5,Never,7,Rock,65,46,3,5,7,1,Medium,Social Media,Medium,73,500,Introvert,Right,Average,116
3884,41,Male,Angry,Creativity burst,Abstract,5,Never,9,Rock,75,60,7,3,7,6,Low,Health,Low,46,300,Extrovert,Right,Poor,211
7475,32,Non-binary,Angry,Creativity burst,Lucid,4,Weekly,7,Rock,26,24,7,10,2,12,Medium,Social Media,High,40,500,Introvert,Right,Good,714
6441,49,Non-binary,,Focused mode,Lucid,10,Never,6,Rock,80,17,1,3,5,10,High,Work,High,83,300,Introvert,Right,Good,925
9374,49,Male,Excited,Existential crisis,Lucid,3,Weekly,10,Rock,22,47,3,8,7,10,Medium,Work,Low,27,300,Extrovert,Balanced,Poor,697
3458,41,Non-binary,,Creativity burst,Nightmare,10,Weekly,1,Lo-fi,57,92,8,7,7,7,Medium,Finance,High,29,0,Ambivert,Balanced,Good,646
9286,58,Male,Excited,Work stress,Nightmare,9,Never,10,Metal,53,65,9,1,6,1,Medium,Social Media,High,20,500,Extrovert,Left,Average,129
8665,69,Male,Happy,Focused mode,Lucid,6,Never,9,Lo-fi,63,56,7,5,10,10,Medium,Relationships,Medium,53,-50,Extrovert,Left,Average,291
8132,66,Male,Happy,Random nostalgia,Lucid,3,Weekly,5,Lo-fi,49,99,7,9,10,4,Low,Health,High,73,500,Extrovert,Left,Good,536
4174,66,Non-binary,Angry,Focused mode,Nightmare,7,Weekly,5,Classical,36,19,8,4,8,9,High,Finance,High,43,50,Ambivert,Right,Poor,278
1766,69,Male,Sad,Random nostalgia,Forgotten,8,Never,6,Classical,78,87,6,1,3,13,Low,Social Media,High,74,400,Introvert,Balanced,Average,715
8369,29,Female,Angry,Existential crisis,Nightmare,3,Never,9,Classical,29,58,3,8,1,1,Medium,Relationships,Low,64,200,Introvert,Balanced,Average,776
3339,56,Non-binary,Sad,Random nostalgia,Nightmare,3,Weekly,8,Pop,37,50,1,5,3,9,Medium,Finance,Low,83,200,Extrovert,Left,Average,573
1837,19,Non-binary,Angry,Existential crisis,Nightmare,10,Weekly,8,Classical,64,92,7,2,2,8,High,Work,Low,10,-50,Extrovert,Left,Good,733
6080,20,Non-binary,Anxious,Work stress,Lucid,10,Weekly,8,Metal,78,39,1,1,2,5,High,Health,High,47,300,Introvert,Balanced,Poor,233
2029,66,Non-binary,Anxious,Random nostalgia,Forgotten,5,Daily,1,Lo-fi,81,14,1,3,2,6,Low,Social Media,High,18,-50,Introvert,Right,Good,901
6437,54,Female,Angry,Focused mode,Nightmare,8,Weekly,1,Metal,78,80,9,9,5,7,Low,Relationships,Low,80,200,Introvert,Left,Poor,411
3404,66,Non-binary,Excited,Existential crisis,Lucid,6,Daily,8,Classical,68,92,10,1,1,4,High,Work,Low,26,-50,Ambivert,Left,Poor,835
8481,34,Non-binary,Angry,Focused mode,Abstract,3,Never,5,Pop,82,40,7,4,10,14,Low,Finance,High,61,100,Ambivert,Balanced,Good,124
5499,66,Male,Excited,Creativity burst,Abstract,5,Never,9,Pop,51,61,4,8,4,14,Medium,Health,High,27,50,Extrovert,Balanced,Average,470
5290,19,Non-binary,Happy,Existential crisis,Nightmare,10,Weekly,2,Lo-fi,29,97,6,8,10,6,Medium,Finance,Medium,72,50,Ambivert,Left,Poor,624
4212,19,Female,,Random nostalgia,Abstract,4,Never,9,Metal,30,32,1,10,5,7,High,Finance,Low,42,-50,Extrovert,Left,Good,418
9304,45,Female,Anxious,Existential crisis,Forgotten,8,Never,8,Rock,89,57,7,8,2,11,Low,Relationships,High,13,50,Introvert,Right,Average,329
1103,40,Female,Sad,Focused mode,Abstract,5,Never,9,Metal,81,49,6,10,5,6,Medium,Work,Low,84,100,Introvert,Right,Poor,201
6257,54,Female,Happy,Work stress,Abstract,5,Never,4,Classical,66,15,4,8,10,11,High,Social Media,Low,61,400,Extrovert,Right,Poor,549
2311,49,Non-binary,Angry,Existential crisis,Forgotten,9,Daily,1,Rock,53,47,7,4,4,13,Low,Relationships,Low,18,0,Introvert,Right,Average,477
5018,50,Non-binary,Happy,Random nostalgia,Nightmare,5,Daily,1,Pop,36,50,3,8,8,12,Medium,Health,Medium,73,100,Extrovert,Left,Poor,987
6186,18,Female,Happy,Creativity burst,Nightmare,9,Weekly,5,Lo-fi,73,36,1,9,1,6,Low,Finance,High,39,50,Extrovert,Left,Good,302
5264,36,Female,Anxious,Work stress,Forgotten,3,Weekly,2,Lo-fi,95,84,4,7,5,2,Low,Health,High,17,50,Extrovert,Left,Poor,366
6077,19,Non-binary,Angry,Creativity burst,Forgotten,3,Weekly,8,Pop,59,78,3,2,,5,Low,Relationships,Low,14,500,Ambivert,Right,Poor,561
8155,61,Female,Anxious,Existential crisis,Forgotten,10,Never,10,Classical,38,66,1,9,1,3,High,Relationships,High,85,50,Extrovert,Left,Average,464
7100,43,Male,,Focused mode,Abstract,4,Never,5,Pop,86,26,2,8,10,7,Medium,Social Media,Medium,72,400,Extrovert,Balanced,Good,833
3761,49,Female,Angry,Focused mode,Forgotten,7,Daily,5,Classical,72,80,5,5,10,4,High,Finance,Low,10,200,Extrovert,Right,Average,203
7260,23,Female,Angry,Random nostalgia,Lucid,7,Daily,2,Rock,83,100,8,3,4,1,Medium,Relationships,Medium,24,0,Ambivert,Balanced,Good,210
5064,49,Male,Happy,Focused mode,Abstract,7,Weekly,7,Pop,66,56,1,7,8,12,Medium,Health,Medium,47,100,Introvert,Right,Average,527
5191,21,Male,Anxious,Work stress,Nightmare,10,Daily,8,Classical,25,88,4,2,1,12,High,Social Media,High,51,-50,Ambivert,Left,Poor,568
2659,28,Non-binary,Sad,Focused mode,Nightmare,9,Daily,10,Rock,35,22,4,3,2,6,High,Health,High,55,50,Extrovert,Right,Good,680
9191,34,Non-binary,,Random nostalgia,Nightmare,10,Daily,1,Pop,91,20,5,9,1,6,Medium,Finance,Medium,62,500,Ambivert,Balanced,Good,969
4116,55,Male,Excited,Existential crisis,Abstract,8,Daily,2,Lo-fi,37,99,7,4,7,7,Medium,Social Media,High,35,500,Introvert,Right,Poor,869
7363,41,Male,Angry,Existential crisis,Lucid,8,Daily,10,Pop,71,95,8,4,2,11,Medium,Social Media,Medium,70,300,Introvert,Balanced,Average,779
8905,22,Non-binary,Happy,Focused mode,Forgotten,4,Weekly,4,Metal,67,33,6,3,1,8,Low,Social Media,Medium,76,0,Extrovert,Left,Good,904
3679,69,Female,Excited,Creativity burst,Forgotten,8,Weekly,5,Pop,62,82,1,5,6,3,Medium,Work,Low,63,500,Introvert,Balanced,Poor,985
5074,51,Male,Anxious,Existential crisis,Nightmare,7,Daily,2,Metal,58,13,7,3,6,14,High,Social Media,Medium,31,300,Ambivert,Left,Poor,660
1119,23,Non-binary,Happy,Focused mode,Nightmare,7,Weekly,1,Rock,68,55,3,9,10,6,High,Health,Medium,35,0,Ambivert,Balanced,Good,349
1152,39,Female,Sad,Random nostalgia,Abstract,10,Never,9,Pop,31,27,6,3,2,10,High,Health,High,69,50,Introvert,Left,Good,581
9339,28,Male,Anxious,Focused mode,Lucid,5,Daily,1,Rock,29,52,8,2,1,2,Medium,Finance,Low,48,0,Extrovert,Balanced,Good,430
7064,65,Female,Happy,Existential crisis,Forgotten,8,Never,4,Rock,90,89,7,5,10,13,Medium,Relationships,High,45,0,Extrovert,Left,Poor,686
2109,33,Non-binary,,Random nostalgia,Abstract,10,Weekly,2,Classical,74,42,10,6,3,14,Low,Relationships,Low,30,-50,Ambivert,Left,Average,300
8240,50,Male,Angry,Focused mode,Forgotten,3,Weekly,4,Rock,20,19,6,1,10,9,Low,Work,High,50,50,Introvert,Left,Average,553
4735,26,Female,Happy,Work stress,Nightmare,3,Never,8,Rock,68,82,9,6,5,2,High,Social Media,Medium,57,400,Ambivert,Balanced,Good,603
9471,23,Male,Excited,Random nostalgia,Forgotten,5,Weekly,8,Pop,55,68,9,10,6,3,Low,Work,Low,35,500,Ambivert,Balanced,Poor,645
3008,33,Female,Sad,Work stress,Lucid,5,Daily,9,Pop,40,40,1,3,3,12,Low,Finance,Low,72,300,Ambivert,Left,Poor,925
8351,46,Non-binary,Angry,Creativity burst,Lucid,5,Never,5,Lo-fi,56,37,1,4,9,13,High,Finance,Low,86,-50,Extrovert,Right,Good,210
7295,20,Non-binary,Happy,Random nostalgia,Nightmare,10,Daily,7,Classical,43,69,1,6,5,10,Medium,Relationships,Low,45,-50,Introvert,Left,Poor,963
4539,37,Male,Happy,Work stress,Lucid,3,Never,3,Rock,74,12,8,8,2,12,Low,Finance,High,33,400,Introvert,Right,Poor,927
6208,53,Female,Anxious,Existential crisis,Lucid,7,Weekly,10,Classical,44,64,10,9,10,12,Medium,Social Media,High,30,300,Extrovert,Left,Poor,848
6687,36,Male,Angry,Existential crisis,Abstract,5,Never,4,Metal,26,23,7,6,6,2,High,Health,Low,27,200,Ambivert,Balanced,Good,643
6834,43,Male,Angry,Creativity burst,Forgotten,4,Never,10,Rock,100,67,3,7,8,9,High,Finance,Low,24,500,Ambivert,Right,Good,308
1876,20,Female,Anxious,Random nostalgia,Nightmare,9,Daily,9,Classical,90,98,2,5,,1,Low,Work,Low,88,300,Extrovert,Balanced,Good,743
8690,36,Female,Anxious,Random nostalgia,Nightmare,10,Weekly,10,Lo-fi,90,24,4,9,4,5,High,Social Media,High,15,300,Introvert,Right,Average,717
5375,37,Female,Happy,Random nostalgia,Nightmare,5,Daily,10,Lo-fi,43,11,3,4,6,1,High,Finance,Low,52,0,Extrovert,Right,Average,132
4353,49,Non-binary,Sad,Creativity burst,Nightmare,9,Weekly,1,Rock,30,33,7,10,8,5,High,Finance,Low,40,200,Introvert,Right,Good,654
8610,24,Male,,Random nostalgia,Nightmare,6,Daily,2,Metal,92,87,10,6,8,8,Low,Social Media,Low,37,50,Introvert,Right,Poor,979
4196,69,Male,Anxious,Existential crisis,Lucid,5,Never,5,Lo-fi,31,73,8,5,10,8,Low,Finance,High,17,50,Introvert,Balanced,Poor,206
5104,58,Non-binary,Angry,Work stress,Abstract,3,Daily,3,Lo-fi,54,80,6,1,2,11,Low,Health,Medium,38,100,Ambivert,Right,Good,364
7873,50,Female,Sad,Existential crisis,Nightmare,8,Weekly,2,Metal,82,33,3,5,8,8,High,Relationships,Medium,30,200,Ambivert,Left,Poor,325
8155,57,Non-binary,Sad,Existential crisis,Abstract,5,Weekly,1,Classical,87,36,6,5,6,2,Medium,Social Media,High,90,0,Extrovert,Left,Poor,586
5931,56,Non-binary,Anxious,Work stress,Abstract,10,Never,10,Lo-fi,76,46,2,9,2,8,High,Work,Medium,67,100,Extrovert,Right,Average,278
7689,35,Non-binary,Excited,Existential crisis,Lucid,8,Weekly,3,Pop,32,100,7,1,1,12,Low,Finance,Low,69,100,Ambivert,Balanced,Poor,321
5690,57,Male,Anxious,Creativity burst,Nightmare,6,Daily,1,Lo-fi,42,48,10,5,6,5,Medium,Relationships,Low,59,50,Extrovert,Balanced,Poor,469
2976,18,Non-binary,Excited,Work stress,Lucid,4,Never,1,Classical,58,72,7,7,7,1,Medium,Work,High,40,300,Ambivert,Right,Good,736
2692,28,Male,Anxious,Existential crisis,Nightmare,8,Weekly,1,Classical,99,88,4,6,10,7,Low,Work,High,56,0,Ambivert,Balanced,Average,887
4267,45,Male,Happy,Focused mode,Lucid,9,Weekly,8,Rock,31,35,8,6,5,13,Medium,Health,Medium,43,-50,Introvert,Balanced,Average,266
8125,42,Male,Angry,Existential crisis,Abstract,7,Daily,3,Pop,53,74,4,7,10,6,Medium,Relationships,Medium,11,-50,Introvert,Balanced,Poor,762
3493,67,Female,Happy,Creativity burst,Nightmare,5,Daily,1,Classical,90,13,7,6,8,5,Low,Social Media,Low,76,200,Ambivert,Right,Good,652
4688,40,Male,Sad,Random nostalgia,Forgotten,6,Never,7,Metal,94,38,4,5,9,1,Medium,Relationships,High,81,100,Introvert,Left,Average,399
6494,48,Male,Excited,Existential crisis,Abstract,6,Weekly,10,Pop,50,10,5,10,4,14,Medium,Relationships,Medium,61,0,Ambivert,Left,Average,480
6216,47,Female,Angry,Random nostalgia,Forgotten,8,Daily,3,Pop,81,59,7,5,7,14,Low,Work,Medium,16,50,Introvert,Left,Poor,134
4745,59,Male,Angry,Focused mode,Abstract,4,Never,8,Metal,32,95,10,9,8,1,Medium,Health,Low,85,100,Extrovert,Left,Average,506
3405,52,Non-binary,Happy,Existential crisis,Lucid,3,Weekly,4,Lo-fi,50,20,3,8,6,6,Medium,Health,Low,28,100,Extrovert,Left,Good,601
4090,24,Non-binary,Sad,Work stress,Nightmare,5,Weekly,4,Metal,21,83,10,10,2,10,Medium,Relationships,Low,24,400,Ambivert,Balanced,Good,413
2732,33,Male,Sad,Random nostalgia,Abstract,6,Never,5,Metal,34,68,5,4,7,12,Medium,Relationships,Low,87,50,Ambivert,Balanced,Average,915
9607,43,Female,Sad,Focused mode,Lucid,4,Never,6,Lo-fi,76,71,3,4,9,7,Low,Finance,Medium,57,-50,Introvert,Balanced,Good,842
1444,65,Non-binary,Anxious,Work stress,Nightmare,7,Daily,7,Lo-fi,94,90,5,10,5,10,High,Work,High,23,400,Introvert,Right,Good,826
5061,69,Female,Sad,Work stress,Nightmare,6,Weekly,4,Lo-fi,53,45,3,5,2,10,High,Social Media,High,12,50,Ambivert,Balanced,Poor,925
7947,66,Female,Anxious,Work stress,Abstract,4,Weekly,8,Lo-fi,87,65,10,3,4,1,Medium,Social Media,Low,59,50,Extrovert,Left,Average,200
2356,19,Non-binary,Happy,Work stress,Nightmare,10,Weekly,6,Lo-fi,94,99,7,8,3,9,Low,Health,Low,63,400,Extrovert,Balanced,Average,668
8938,18,Female,Happy,Existential crisis,Abstract,3,Never,1,Metal,48,30,1,7,4,4,Low,Work,Medium,15,-50,Ambivert,Left,Poor,314
6325,65,Non-binary,Sad,Existential crisis,Nightmare,3,Daily,1,Rock,85,22,9,5,10,5,Medium,Health,Low,58,500,Extrovert,Balanced,Poor,767
6182,29,Female,Angry,Existential crisis,Forgotten,6,Weekly,9,Rock,35,18,9,10,7,2,High,Social Media,High,32,0,Ambivert,Left,Poor,675
8909,22,Non-binary,Anxious,Focused mode,Lucid,9,Never,10,Classical,58,20,5,3,10,14,Medium,Relationships,Low,87,0,Introvert,Balanced,Poor,161
8594,54,Male,Angry,Focused mode,Forgotten,6,Weekly,6,Rock,96,84,9,5,,12,Low,Work,High,87,500,Extrovert,Left,Good,950
4210,49,Non-binary,Angry,Focused mode,Abstract,8,Daily,10,Rock,56,79,10,3,1,10,Low,Work,Low,29,0,Extrovert,Left,Good,468
6738,26,Non-binary,Anxious,Creativity burst,Forgotten,5,Weekly,8,Metal,100,10,6,10,8,13,High,Finance,Low,86,300,Introvert,Right,Poor,467
6736,58,Non-binary,Happy,Focused mode,Abstract,4,Daily,7,Lo-fi,40,79,5,5,5,8,Low,Relationships,High,69,100,Introvert,Balanced,Average,673
3002,52,Non-binary,Sad,Existential crisis,Nightmare,6,Daily,6,Lo-fi,63,86,3,1,7,14,Low,Relationships,Medium,54,0,Extrovert,Left,Average,193
8478,36,Female,Excited,Existential crisis,Nightmare,5,Weekly,4,Metal,38,95,8,6,1,2,Low,Health,Medium,70,300,Extrovert,Balanced,Average,568
1618,65,Male,Anxious,Creativity burst,Abstract,8,Weekly,7,Rock,90,65,4,10,2,3,High,Work,Low,65,100,Ambivert,Left,Poor,952
3222,33,Non-binary,Sad,Creativity burst,Forgotten,10,Daily,9,Metal,27,40,10,4,1,12,Low,Health,Low,11,0,Ambivert,Right,Good,125
1138,20,Female,,Focused mode,Nightmare,10,Never,10,Classical,96,95,3,4,5,9,Medium,Relationships,High,54,50,Extrovert,Right,Good,534
9225,37,Male,Anxious,Random nostalgia,Lucid,5,Daily,10,Lo-fi,85,46,6,8,6,2,High,Finance,High,49,500,Ambivert,Right,Good,220
5297,41,Male,Sad,Creativity burst,Nightmare,6,Weekly,7,Pop,60,56,8,2,10,14,Medium,Work,Low,33,200,Introvert,Right,Good,149
2997,50,Male,Anxious,Work stress,Lucid,3,Weekly,1,Classical,94,100,9,4,9,6,Medium,Relationships,High,38,0,Ambivert,Left,Average,982
1080,41,Male,Angry,Existential crisis,Forgotten,4,Never,10,Classical,89,87,6,2,8,12,High,Finance,Medium,76,200,Ambivert,Balanced,Average,863
4643,69,Non-binary,Angry,Work stress,Lucid,4,Daily,9,Metal,80,56,5,1,7,4,Medium,Social Media,Medium,77,0,Extrovert,Right,Good,135
7368,28,Non-binary,Sad,Existential crisis,Lucid,10,Daily,4,Rock,45,78,2,10,,7,High,Relationships,High,75,50,Ambivert,Right,Poor,509
1026,66,Female,Sad,Existential crisis,Lucid,10,Daily,3,Lo-fi,90,67,2,3,3,14,Medium,Social Media,High,63,500,Extrovert,Right,Good,388
1160,25,Female,Anxious,Creativity burst,Lucid,3,Weekly,4,Pop,89,45,9,8,9,14,High,Health,High,62,-50,Extrovert,Balanced,Good,478
3791,53,Female,Angry,Creativity burst,Nightmare,9,Daily,4,Classical,48,41,2,6,5,6,Low,Social Media,Medium,88,500,Extrovert,Left,Poor,199
6546,55,Male,Excited,Work stress,Lucid,6,Never,10,Pop,85,73,2,7,3,10,Low,Relationships,Low,58,200,Introvert,Left,Good,423
4640,57,Male,Anxious,Existential crisis,Nightmare,10,Weekly,2,Rock,38,80,3,2,3,14,Medium,Social Media,High,41,300,Ambivert,Left,Average,428
1613,37,Non-binary,Happy,Work stress,Lucid,10,Weekly,1,Rock,87,51,3,6,3,9,Low,Work,High,70,50,Ambivert,Left,Poor,747
1367,52,Male,Anxious,Random nostalgia,Abstract,10,Daily,10,Pop,77,57,4,8,6,14,High,Relationships,High,51,200,Ambivert,Balanced,Poor,805
8359,65,Male,Sad,Work stress,Forgotten,4,Never,1,Lo-fi,89,83,7,8,1,9,Medium,Finance,Low,10,200,Extrovert,Balanced,Good,320
4058,42,Male,Angry,Focused mode,Lucid,6,Weekly,8,Rock,76,90,9,4,4,10,Low,Social Media,High,72,400,Introvert,Balanced,Average,890
6552,52,Female,Anxious,Work stress,Abstract,8,Weekly,2,Pop,56,39,2,6,8,4,Low,Work,High,44,400,Extrovert,Right,Average,937
8947,42,Female,Sad,Focused mode,Lucid,6,Daily,10,Classical,80,30,4,5,,1,Medium,Health,Medium,60,50,Ambivert,Balanced,Average,666
8370,46,Non-binary,Angry,Focused mode,Lucid,5,Daily,5,Pop,49,69,9,9,5,2,Low,Health,High,80,50,Extrovert,Left,Good,209
1419,35,Male,Happy,Focused mode,Lucid,3,Never,4,Pop,90,22,2,8,2,8,Low,Social Media,Medium,54,50,Extrovert,Balanced,Good,248
9311,63,Male,Happy,Random nostalgia,Abstract,9,Daily,8,Metal,92,10,10,2,2,14,Medium,Health,Low,86,100,Ambivert,Right,Average,505
9702,35,Non-binary,Sad,Work stress,Forgotten,10,Never,2,Rock,44,74,1,7,7,10,Low,Finance,High,74,300,Extrovert,Left,Good,876
8919,19,Male,Sad,Work stress,Abstract,10,Weekly,10,Lo-fi,84,42,10,7,10,8,Low,Relationships,High,23,0,Extrovert,Balanced,Average,773
2630,52,Male,,Random nostalgia,Forgotten,6,Never,9,Lo-fi,25,47,8,1,3,14,Low,Work,Medium,12,-50,Introvert,Left,Good,798
5676,33,Female,Angry,Existential crisis,Lucid,9,Never,7,Metal,37,34,9,1,5,2,Low,Social Media,Low,33,400,Extrovert,Left,Poor,509
2517,58,Non-binary,Sad,Creativity burst,Nightmare,10,Never,7,Lo-fi,29,35,7,4,3,4,Medium,Health,Low,74,500,Introvert,Balanced,Poor,228
3071,53,Non-binary,Angry,Work stress,Lucid,9,Weekly,1,Pop,30,86,8,5,6,1,High,Relationships,Medium,57,500,Ambivert,Balanced,Good,583
1168,50,Non-binary,Happy,Creativity burst,Forgotten,8,Daily,2,Metal,84,68,4,4,10,7,High,Finance,Low,19,200,Introvert,Right,Good,207
5897,21,Non-binary,,Random nostalgia,Abstract,7,Weekly,4,Classical,96,42,4,7,3,4,Low,Health,Low,22,400,Extrovert,Balanced,Average,488
7259,50,Female,Anxious,Existential crisis,Lucid,3,Daily,4,Rock,84,50,2,3,8,11,Low,Health,Low,82,0,Ambivert,Balanced,Poor,524
2415,31,Female,Anxious,Existential crisis,Abstract,9,Never,3,Rock,71,39,8,7,2,14,High,Work,Low,23,50,Extrovert,Balanced,Average,546
4654,38,Male,Happy,Existential crisis,Abstract,4,Never,7,Rock,86,66,2,8,3,8,Low,Finance,Low,19,500,Extrovert,Left,Good,167
6881,65,Male,Angry,Random nostalgia,Abstract,5,Never,8,Pop,97,58,9,6,8,9,High,Finance,Low,49,400,Introvert,Right,Average,165
4611,37,Male,Angry,Focused mode,Lucid,4,Never,2,Classical,50,57,4,6,8,12,Medium,Social Media,Low,32,300,Extrovert,Left,Average,755
5782,25,Male,Excited,Focused mode,Abstract,10,Never,4,Metal,36,81,1,8,1,9,Medium,Work,Low,64,300,Introvert,Balanced,Good,664
3404,24,Female,Happy,Creativity burst,Abstract,8,Daily,3,Metal,74,58,4,8,8,3,Medium,Social Media,High,72,-50,Ambivert,Right,Poor,739
4836,20,Non-binary,Sad,Focused mode,Lucid,8,Daily,2,Rock,55,56,3,7,10,5,Medium,Work,Medium,80,100,Ambivert,Balanced,Average,603
3285,34,Female,,Focused mode,Abstract,4,Never,6,Classical,45,65,6,6,2,6,Medium,Finance,Low,51,400,Extrovert,Left,Good,603
6614,50,Male,Angry,Existential crisis,Lucid,3,Weekly,4,Classical,72,74,7,6,7,6,Medium,Work,Medium,75,50,Introvert,Left,Average,420
6070,65,Female,Sad,Existential crisis,Forgotten,4,Weekly,6,Classical,36,21,8,10,6,10,High,Work,Low,88,200,Extrovert,Balanced,Good,818
5153,29,Non-binary,Happy,Creativity burst,Forgotten,6,Never,2,Lo-fi,44,78,2,6,2,8,Low,Work,Low,82,-50,Extrovert,Right,Good,931
